Job ID,Job Title,Job Role,Job Level,Domain,Tech Stack,Skills,Required Skills,Experience (Years),Education,Certifications,Certifications Count,Projects Count,Salary (USD/Year),Employment Type,Work Mode,Company Name,Company Size,City,Country,Date Posted,Job Description
JOB00001,Python Backend Engineer – NestJS/TypeScript,Backend Developer,Mid-Level,Aerospace,NestJS/TypeScript,REST APIs | API Versioning | PostgreSQL | Rust | Temporal | GraphQL | Kotlin | Go,Python/Go/Java | PostgreSQL | REST APIs | Microservices | Docker,3,B.Eng. Electronics & Communication,HashiCorp Vault Associate | Oracle Java SE Certified | Redis Certified Developer,3,4,109000,Full-Time,Hybrid,Microsoft,Enterprise (5000+),Seoul,South Korea,2024-12-28,"Microsoft is scaling its Aerospace infrastructure and needs a talented Python Backend Engineer – NestJS/TypeScript. Core stack: REST APIs, API Versioning, PostgreSQL. You'll ensure backend scalability and security, partner cross-functionally, and set technical standards. 3+ yrs exp. B.Eng. Electronics & Communication. Full-Time · Hybrid · Enterprise (5000+)."
JOB00002,Frontend Developer (Accessibility & React Native/Expo),Frontend Developer,Mid-Level,FinTech,React Native/Expo,HTML5 | Web Performance | Vue.js | Astro | CSS3 | Webpack | TypeScript,React | TypeScript | HTML/CSS | Web Performance | Accessibility,5,B.Sc. Physics (CS minor),W3C Front-End Web Developer,1,11,110500,Contract,On-Site,Notion,Small (51–200),Berlin,Germany,2024-08-16,"At Notion (Small (51–200)), our FinTech team is growing fast. We need a Frontend Developer (Accessibility & React Native/Expo) who thrives with HTML5, Web Performance, and Vue.js. You'll drive web performance and Core Web Vitals improvements in a collaborative, fast-paced environment. 5+ years exp · B.Sc. Physics (CS minor) · Contract · On-Site."
JOB00003,"Principal Data Scientist, Automotive Insights",Data Scientist,Lead,Automotive,Python/TensorFlow,A/B Testing | Plotly | Probability | CatBoost | Power BI | Hypothesis Testing | Spark | Looker,Python | SQL | Machine Learning | Statistics | Feature Engineering,11,M.Sc. Artificial Intelligence,Coursera ML Specialization (Andrew Ng),1,6,254000,Full-Time,Remote,Twilio,Mid-size (201–1000),Tokyo,Japan,2025-01-08,"Twilio is scaling its Automotive infrastructure and needs a talented Principal Data Scientist, Automotive Insights. Core stack: A/B Testing, Plotly, Probability. You'll communicate insights to executive stakeholders, partner cross-functionally, and set technical standards. 11+ yrs exp. M.Sc. Artificial Intelligence. Full-Time · Remote · Mid-size (201–1000)."
JOB00004,"Senior Solutions Architect, Entertainment",Cloud Solutions Architect,Senior,Entertainment,AWS/CloudFormation,GCP | PrivateLink | ARM Templates | CloudFormation | Cloud Migration | Event-Driven Architecture | Snowflake | AWS Control Tower | API Gateway,AWS/Azure/GCP | Terraform | Cloud Security | Architecture Design | Networking,7,B.Sc. Cognitive Science,None,0,15,207000,Freelance,Hybrid,SAP,Enterprise (5000+),London,UK,2024-05-02,"At SAP (Enterprise (5000+)), our Entertainment team is growing fast. We need a Senior Solutions Architect, Entertainment who thrives with GCP, PrivateLink, and ARM Templates. You'll drive cloud-native modernisation initiatives in a collaborative, fast-paced environment. 7+ years exp · B.Sc. Cognitive Science · Freelance · Hybrid."
JOB00005,Lead AI/ML Engineer (Real Estate),Machine Learning Engineer,Lead,Real Estate,Triton/ONNX,LangChain | ONNX | Scikit-learn | RLHF | BentoML | Feature Stores | Azure | Airflow | Dask | Python,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,10,M.Sc. Cybersecurity,AWS Certified Data Engineer | Kubeflow Practitioner | Deep Learning Specialization (Coursera),3,13,279000,Freelance,Hybrid,Databricks,Large (1001–5000),Stockholm,Sweden,2024-08-20,"Shape the future of Real Estate at Databricks. As a Lead AI/ML Engineer (Real Estate) you will implement feature engineering, data validation, and drift detection with hands-on mastery of LangChain and ONNX. We value deep knowledge of Scikit-learn and a pragmatic, ownership-driven mindset. 10 years' experience required. M.Sc. Cybersecurity preferred. Freelance | Hybrid."
JOB00006,Cloud DBA – MongoDB/Atlas,Database Administrator,Mid-Level,EdTech,MongoDB/Atlas,RMAN | Query Optimization | CockroachDB | Terraform | Aurora | Monitoring,PostgreSQL/Oracle | Query Optimization | Backup & Recovery | High Availability | SQL,5,B.Sc. Software Engineering,None,0,8,106500,Part-Time,On-Site,Supabase,Startup (1–50),Austin,USA,2024-10-26,"Shape the future of EdTech at Supabase. As a Cloud DBA – MongoDB/Atlas you will design, optimise, and maintain mission-critical production databases with hands-on mastery of RMAN and Query Optimization. We value deep knowledge of CockroachDB and a pragmatic, ownership-driven mindset. 5 years' experience required. B.Sc. Software Engineering preferred. Part-Time | On-Site."
JOB00007,Principal Mobile App Engineer (Swift/UIKit),Mobile App Developer,Principal / Staff,HR Tech,Swift/UIKit,Room DB | Xcode | Fastlane | Kotlin Multiplatform | Crashlytics | In-App Purchases | Push Notifications | Google Play Console,Swift/Kotlin or Flutter | REST APIs | MVVM/Clean Architecture | Unit Testing | CI/CD,16,B.Eng. Electrical Engineering,Google UX Design Certificate | Google Associate Android Developer | React Native Certification (Udemy/Meta) | Kotlin Developer Certification (JetBrains),4,19,337000,Full-Time,On-Site,N26,Mid-size (201–1000),Cape Town,South Africa,2025-02-28,"Join N26's HR Tech division as a Principal Mobile App Engineer (Swift/UIKit). You'll integrate device-native capabilities and third-party SDKs leveraging Room DB, Xcode, and Fastlane across a high-scale, distributed environment. Required: 16 years' experience, B.Eng. Electrical Engineering. Full-Time, On-Site."
JOB00008,Junior PostgreSQL DBA,Database Administrator,Junior,E-commerce,Cassandra/NoSQL,Terraform | pgBadger | Database Migration | Cassandra | Partitioning | DynamoDB | RMAN | MariaDB | MySQL,PostgreSQL/Oracle | Query Optimization | Backup & Recovery | High Availability | SQL,2,B.Sc. Mathematics,Databricks Certified Associate Developer | MongoDB Certified DBA Associate,2,5,57000,Full-Time,Remote,Stripe,Large (1001–5000),Stockholm,Sweden,2025-01-03,"At Stripe (Large (1001–5000)), our E-commerce team is growing fast. We need a Junior PostgreSQL DBA who thrives with Terraform, pgBadger, and Database Migration. You'll optimise query plans and storage efficiency in a collaborative, fast-paced environment. 2+ years exp · B.Sc. Mathematics · Full-Time · Remote."
JOB00009,Entry-Level Application Security Engineer – Splunk/SIEM,Cybersecurity Analyst,Junior,HealthTech,Splunk/SIEM,IBM QRadar | Metasploit | IAM | Threat Hunting | NIST CSF | Zero Trust | Kali Linux | Carbon Black | Burp Suite,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,2,Associate Degree in Computer Science,OSCP | CISSP | AWS Security Specialty,3,24,68500,Full-Time,Remote,TCS,Enterprise (5000+),Berlin,Germany,2025-04-12,"TCS (Enterprise (5000+)) is hiring a Entry-Level Application Security Engineer – Splunk/SIEM to join our HealthTech engineering team. You will design and implement zero-trust and least-privilege controls using IBM QRadar, Metasploit, and IAM. We expect 2+ years of experience and a degree in Associate Degree in Computer Science. Full-Time · Remote."
JOB00010,Staff Incident Response Analyst – Splunk/SIEM,Cybersecurity Analyst,Lead,Manufacturing,Splunk/SIEM,Vulnerability Assessment | Python | Azure Defender | IBM QRadar | CrowdStrike | Penetration Testing | SOC 2,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,12,Ph.D. Artificial Intelligence,CISSP,1,4,229000,Full-Time,Remote,Elastic,Large (1001–5000),Atlanta,USA,2024-03-16,"At Elastic (Large (1001–5000)), our Manufacturing team is growing fast. We need a Staff Incident Response Analyst – Splunk/SIEM who thrives with Vulnerability Assessment, Python, and Azure Defender. You'll investigate and contain security incidents in a collaborative, fast-paced environment. 12+ years exp · Ph.D. Artificial Intelligence · Full-Time · Remote."
