id,role,level,type,question_text,options_json,correct_answer_index,topic
1,Software Engineer,Intern,mcq,What is a key characteristic of clean code principles?,"[{""index"": 0, ""text"": ""Treating clean code principles as equivalent to caching strategies \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Confusing clean code principles with build tools, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Focusing on unit testing while overlooking the actual requirements of clean code principles.""}, {""index"": 3, ""text"": ""Addressing the core purpose of clean code principles while accounting for known edge cases.""}]",3,clean code principles
2,Software Engineer,Intern,mcq,Which of the following would a senior Software Engineer flag as a risk when clean code principles is handled incorrectly?,"[{""index"": 0, ""text"": ""Addressing the core purpose of clean code principles while accounting for known edge cases.""}, {""index"": 1, ""text"": ""A superficial application of clean code principles that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Treating clean code principles as equivalent to REST API design \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""Focusing on microservices vs monoliths while overlooking the actual requirements of clean code principles.""}]",0,clean code principles
3,Software Engineer,Intern,mcq,What is the main benefit of using data structures in a Software Engineer context?,"[{""index"": 0, ""text"": ""Confusing data structures with build tools, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Applying the principles of design patterns in a situation that calls for data structures instead.""}, {""index"": 2, ""text"": ""Addressing the core purpose of data structures while accounting for known edge cases.""}, {""index"": 3, ""text"": ""A superficial application of data structures that overlooks important edge cases.""}]",2,data structures
4,Software Engineer,Intern,mcq,A Software Engineer needs to make a decision involving refactoring. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""Focusing on load balancing while overlooking the actual requirements of refactoring.""}, {""index"": 1, ""text"": ""Addressing the core purpose of refactoring while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Treating refactoring as equivalent to version control workflows \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""Applying the principles of API versioning in a situation that calls for refactoring instead.""}]",1,refactoring
5,Software Engineer,Intern,mcq,What distinguishes a correct implementation of technical debt from a flawed one?,"[{""index"": 0, ""text"": ""Treating technical debt as equivalent to SOLID principles \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Correctly applying technical debt according to established best practices for a Software Engineer.""}, {""index"": 2, ""text"": ""Confusing technical debt with database indexing, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""An outdated approach to technical debt that ignores current best practices.""}]",1,technical debt
6,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of API versioning?","[{""index"": 0, ""text"": ""Prioritizing memory management at the expense of properly addressing API versioning.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind API versioning.""}, {""index"": 2, ""text"": ""Confusing API versioning with design patterns, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""Focusing on version control workflows while overlooking the actual requirements of API versioning.""}]",1,API versioning
7,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of code documentation?","[{""index"": 0, ""text"": ""An outdated approach to code documentation that ignores current best practices.""}, {""index"": 1, ""text"": ""Applying the principles of message queues in a situation that calls for code documentation instead.""}, {""index"": 2, ""text"": ""Correctly applying code documentation according to established best practices for a Software Engineer.""}, {""index"": 3, ""text"": ""Prioritizing debugging strategies at the expense of properly addressing code documentation.""}]",2,code documentation
8,Software Engineer,Intern,mcq,Which option correctly explains a common pitfall related to version control workflows?,"[{""index"": 0, ""text"": ""Treating version control workflows as equivalent to build tools \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""An accurate, practical description of how version control workflows functions in real Software Engineer work.""}, {""index"": 2, ""text"": ""A superficial application of version control workflows that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Focusing on object-oriented design while overlooking the actual requirements of version control workflows.""}]",1,version control workflows
9,Software Engineer,Intern,mcq,"When applying test-driven development, which of the following is a best practice?","[{""index"": 0, ""text"": ""Confusing test-driven development with code review practices, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Applying the principles of load balancing in a situation that calls for test-driven development instead.""}, {""index"": 2, ""text"": ""Addressing the core purpose of test-driven development while accounting for known edge cases.""}, {""index"": 3, ""text"": ""Prioritizing caching strategies at the expense of properly addressing test-driven development.""}]",2,test-driven development
10,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of memory management?","[{""index"": 0, ""text"": ""Prioritizing software architecture at the expense of properly addressing memory management.""}, {""index"": 1, ""text"": ""A superficial application of memory management that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Treating memory management as equivalent to concurrency \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""A structured approach that directly satisfies the intent behind memory management.""}]",3,memory management
11,Software Engineer,Intern,mcq,Which option correctly explains a common pitfall related to data structures?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind data structures.""}, {""index"": 1, ""text"": ""Confusing data structures with debugging strategies, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Focusing on memory management while overlooking the actual requirements of data structures.""}, {""index"": 3, ""text"": ""A superficial application of data structures that overlooks important edge cases.""}]",0,data structures
12,Software Engineer,Intern,mcq,Which of the following best describes dependency injection?,"[{""index"": 0, ""text"": ""An outdated approach to dependency injection that ignores current best practices.""}, {""index"": 1, ""text"": ""Treating dependency injection as equivalent to unit testing \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""Focusing on algorithm complexity while overlooking the actual requirements of dependency injection.""}, {""index"": 3, ""text"": ""Correctly applying dependency injection according to established best practices for a Software Engineer.""}]",3,dependency injection
