Job ID,Job Title,Job Role,Job Level,Domain,Tech Stack,Skills,Required Skills,Experience (Years),Education,Certifications,Certifications Count,Projects Count,Salary (USD/Year),Employment Type,Work Mode,Company Name,Company Size,City,Country,Date Posted,Job Description
JOB00001,Junior Data Scientist,Data Scientist,Junior,Retail,SQL/dbt,Hypothesis Testing | CatBoost | XGBoost | Plotly | Bayesian Statistics | Tableau | Probability,Python | SQL | Machine Learning | Statistics | Feature Engineering,1,M.Sc. Artificial Intelligence,Coursera ML Specialization (Andrew Ng),1,23,74000,Freelance,Hybrid,Uber,Startup (1–50),New York,USA,2024-10-23,"Shape the future of Retail at Uber. As a Junior Data Scientist you will translate business questions into data analyses with hands-on mastery of Hypothesis Testing and CatBoost. We value deep knowledge of XGBoost and a pragmatic, ownership-driven mindset. 1 years' experience required. M.Sc. Artificial Intelligence preferred. Freelance | Hybrid."
JOB00002,Platform Engineer (Ansible/GCP),DevOps Engineer,Senior,HR Tech,Ansible/GCP,Infrastructure as Code | Grafana | Helm | ArgoCD | Chef/Puppet | Bash | Service Mesh,Linux | CI/CD | Docker/Kubernetes | Terraform | Cloud Platforms (AWS/GCP/Azure),6,B.Eng. Software Engineering,HashiCorp Certified: Terraform Associate | Docker Certified Associate | Certified Kubernetes Administrator,3,10,144000,Full-Time,Remote,Palantir,Mid-size (201–1000),New York,USA,2025-02-06,"At Palantir (Mid-size (201–1000)), our HR Tech team is growing fast. We need a Platform Engineer (Ansible/GCP) who thrives with Infrastructure as Code, Grafana, and Helm. You'll automate build, test, and deployment pipelines in a collaborative, fast-paced environment. 6+ years exp · B.Eng. Software Engineering · Full-Time · Remote."
JOB00003,Principal Product Designer – Adobe XD/Prototyping,UI/UX Designer,Principal / Staff,Government,Adobe XD/Prototyping,Persona Development | Prototyping | Accessibility (WCAG) | Journey Mapping | Wireframing | User Research | Design Tokens,Figma | User Research | Wireframing/Prototyping | Design Systems | Usability Testing,17,Bootcamp + Self-Taught,Certified Usability Analyst,1,5,277500,Full-Time,Remote,N26,Large (1001–5000),Austin,USA,2024-01-23,"We're looking for a Principal Product Designer – Adobe XD/Prototyping at N26 to power our Government platform. Day-to-day, you'll translate user research into intuitive interfaces with deep expertise in Persona Development and Prototyping. You bring 17+ years, strong Accessibility (WCAG) skills, and a Bootcamp + Self-Taught (or equivalent). Full-Time | Remote | Large (1001–5000)."
JOB00004,Mid-Level AI Engineer – RAG/Vector DBs,AI/NLP Engineer,Mid-Level,HR Tech,RAG/Vector DBs,Tokenization | Model Evaluation | Transformer Architectures | Speech-to-Text | Prompt Engineering | Vector Databases | Guardrails,Python | Transformers/LLMs | NLP Fundamentals | PyTorch | Prompt/RAG Engineering,4,Ph.D. Artificial Intelligence,None,0,14,135000,Freelance,Remote,Zoom,Enterprise (5000+),Cape Town,South Africa,2024-12-01,"Shape the future of HR Tech at Zoom. As a Mid-Level AI Engineer – RAG/Vector DBs you will build retrieval-augmented generation pipelines with hands-on mastery of Tokenization and Model Evaluation. We value deep knowledge of Transformer Architectures and a pragmatic, ownership-driven mindset. 4 years' experience required. Ph.D. Artificial Intelligence preferred. Freelance | Remote."
JOB00005,Quantitative Analyst – R,Data Scientist,Mid-Level,Energy,R/Tidyverse,Plotly | CatBoost | Bayesian Statistics | Hypothesis Testing | XGBoost | Time Series Forecasting | Probability | Looker | Spark,Python | SQL | Machine Learning | Statistics | Feature Engineering,5,M.Sc. Artificial Intelligence,Coursera ML Specialization (Andrew Ng) | AWS Certified Data Analytics | TensorFlow Developer Certificate,3,11,97000,Freelance,Remote,Supabase,Large (1001–5000),Dublin,Ireland,2025-03-27,"Supabase (Large (1001–5000)) is hiring a Quantitative Analyst – R to join our Energy engineering team. You will communicate insights to executive stakeholders using Plotly, CatBoost, and Bayesian Statistics. We expect 5+ years of experience and a degree in M.Sc. Artificial Intelligence. Freelance · Remote."
JOB00006,Entry-Level SDET – Playwright,QA / Test Automation Engineer,Junior,Manufacturing,Playwright/JavaScript,Load Testing | Defect Tracking | API Testing | TestRail | Regression Testing | Test Planning,Test Automation Frameworks | API Testing | CI/CD | SQL | Bug Tracking,0,Bootcamp + Self-Taught,Postman API Fundamentals Certification,1,8,46500,Part-Time,Hybrid,Atlassian,Large (1001–5000),Munich,Germany,2025-05-12,"At Atlassian (Large (1001–5000)), our Manufacturing team is growing fast. We need a Entry-Level SDET – Playwright who thrives with Load Testing, Defect Tracking, and API Testing. You'll design and maintain automated test suites in a collaborative, fast-paced environment. 0+ years exp · Bootcamp + Self-Taught · Part-Time · Hybrid."
JOB00007,Staff Interaction Designer – Sketch,UI/UX Designer,Lead,AgriTech,Sketch/InVision,Design Systems | Information Architecture | Prototyping | Wireframing | User Research | A/B Testing,Figma | User Research | Wireframing/Prototyping | Design Systems | Usability Testing,12,B.A. Visual Communication,Nielsen Norman Group UX Certification,1,8,143000,Full-Time,Hybrid,Coinbase,Large (1001–5000),Seoul,South Korea,2025-01-10,"Coinbase is scaling its AgriTech infrastructure and needs a talented Staff Interaction Designer – Sketch. Core stack: Design Systems, Information Architecture, Prototyping. You'll partner with product and engineering on end-to-end UX, partner cross-functionally, and set technical standards. 12+ yrs exp. B.A. Visual Communication. Full-Time · Hybrid · Large (1001–5000)."
JOB00008,Full Stack Developer (Django/React),Full Stack Developer,Principal / Staff,Aerospace,Django/React,TypeScript | Serverless | WebSockets | REST APIs | Redis | Docker,JavaScript/TypeScript | React or Vue | Node.js | SQL/NoSQL | REST APIs,17,B.Sc. Information Technology,freeCodeCamp Full Stack Certification,1,23,256500,Contract,Remote,Shopify,Enterprise (5000+),Munich,Germany,2024-02-03,"Shopify (Enterprise (5000+)) is hiring a Full Stack Developer (Django/React) to join our Aerospace engineering team. You will ship full-stack features across the product surface using TypeScript, Serverless, and WebSockets. We expect 17+ years of experience and a degree in B.Sc. Information Technology. Contract · Remote."
JOB00009,"Associate Product Designer, Logistics",UI/UX Designer,Junior,Logistics,Figma/Design Systems,A/B Testing | User Research | Design Systems | Usability Testing | Wireframing | Journey Mapping | Persona Development | Design Tokens,Figma | User Research | Wireframing/Prototyping | Design Systems | Usability Testing,0,B.Sc. Human-Computer Interaction,Interaction Design Foundation Certificate,1,6,51500,Contract,Hybrid,Uber,Small (51–200),Paris,France,2025-01-02,"Uber is scaling its Logistics infrastructure and needs a talented Associate Product Designer, Logistics. Core stack: A/B Testing, User Research, Design Systems. You'll build and maintain a scalable design system, partner cross-functionally, and set technical standards. 0+ yrs exp. B.Sc. Human-Computer Interaction. Contract · Hybrid · Small (51–200)."
JOB00010,Principal NLP Engineer – HuggingFace/Transformers,AI/NLP Engineer,Principal / Staff,FinTech,HuggingFace/Transformers,Transformer Architectures | Tokenization | Semantic Search | Vector Databases | Embeddings | Model Evaluation | Prompt Engineering | Named Entity Recognition | RAG Pipelines,Python | Transformers/LLMs | NLP Fundamentals | PyTorch | Prompt/RAG Engineering,20,M.Sc. Computational Linguistics,HuggingFace NLP Course,1,5,341500,Full-Time,Remote,Robinhood,Mid-size (201–1000),Delhi,India,2025-02-28,"At Robinhood (Mid-size (201–1000)), our FinTech team is growing fast. We need a Principal NLP Engineer – HuggingFace/Transformers who thrives with Transformer Architectures, Tokenization, and Semantic Search. You'll design prompt strategies and guardrails for production LLMs in a collaborative, fast-paced environment. 20+ years exp · M.Sc. Computational Linguistics · Full-Time · Remote."
